id,scene,caption
56258,Office,Hold the cucumber with one hand and peel it with the peeler with the other
56259,Office,Hold the cucumber with one hand and peel it with the peeler with the other
56260,Office,Hold the cucumber with one hand and peel it with the peeler with the other
56261,Office,Hold the cucumber with one hand and peel it with the peeler with the other
56262,Office,Hold the cucumber with one hand and peel it with the peeler with the other
56263,Office,Hold the cucumber with one hand and peel it with the peeler with the other
56264,Office,Hold the zucchini with one hand and peel it with the peeler with the other
56265,Office,Hold the zucchini with one hand and peel it with the peeler with the other
56266,Office,Hold the zucchini with one hand and peel it with the peeler with the other
56267,Office,Hold the zucchini with one hand and peel it with the peeler with the other
56268,Office,Hold the zucchini with one hand and peel it with the peeler with the other
56269,Office,Hold the zucchini with one hand and peel it with the peeler with the other
56270,Office,Hold the zucchini with one hand and peel it with the peeler with the other
56271,Office,Hold the zucchini with one hand and peel it with the peeler with the other
56272,Office,Hold the zucchini with one hand and peel it with the peeler with the other
56273,Office,Hold the apple with one hand and peel it with the peeler with the other
56274,Office,Hold the apple with one hand and peel it with the peeler with the other
56275,Office,Hold the apple with one hand and peel it with the peeler with the other
56276,Office,Hold the apple with one hand and peel it with the peeler with the other
56277,Office,Hold the apple with one hand and peel it with the peeler with the other
56278,Office,Hold the apple with one hand and peel it with the peeler with the other
56279,Office,Hold the apple with one hand and peel it with the peeler with the other
56280,Office,Hold the apple with one hand and peel it with the peeler with the other
56281,Office,Hold the apple with one hand and peel it with the peeler with the other
56282,Office,Hold the pear with one hand and peel it with the peeler with the other
56283,Office,Hold the pear with one hand and peel it with the peeler with the other
56284,Office,Hold the pear with one hand and peel it with the peeler with the other
56285,Office,Hold the pear with one hand and peel it with the peeler with the other
56286,Office,Hold the pear with one hand and peel it with the peeler with the other
56287,Office,Hold the pear with one hand and peel it with the peeler with the other
56288,Office,Hold the pear with one hand and peel it with the peeler with the other
56289,Office,Hold the pear with one hand and peel it with the peeler with the other
56290,Office,Hold the pear with one hand and peel it with the peeler with the other
56291,Office,Hold your phone with one hand and type quickly with your thumb with the other
56292,Office,Hold your phone with one hand and type quickly with your thumb with the other
56293,Office,Hold your phone with one hand and type quickly with your thumb with the other
56294,Office,Cover the bowl with cling film
56295,Office,Cover the bowl with cling film
56296,Office,Cover the bowl with cling film
56297,Office,Cover the plate with cling film
56298,Office,Cover the plate with cling film
56299,Office,Cover the plate with cling film
56300,Office,Cover the seasoning dish with cling film
56301,Office,Cover the seasoning dish with cling film
56302,Office,Cover the seasoning dish with cling film
56312,Office,Pack the tissues into the tissue box
56313,Office,Pack the tissues into the tissue box
56314,Office,Pack the tissues into the tissue box
56318,Office,Dry the bowl with water stains
56319,Office,Dry the bowl with water stains
56320,Office,Dry the bowl with water stains
56321,Office,Dry the plate with water stains
56322,Office,Dry the plate with water stains
56323,Office,Dry the plate with water stains
56324,Office,Dry the seasoning dish from the water
56325,Office,Dry the seasoning dish from the water
56326,Office,Dry the seasoning dish from the water
56327,Office,Dry the fork from the water stains
56328,Office,Dry the fork from the water stains
56329,Office,Dry the fork from the water stains
56330,Office,Dry the table knife from the water
56331,Office,Dry the table knife from the water
56332,Office,Dry the table knife from the water
56333,Office,Dry the wine glass
56334,Office,Dry the wine glass
56335,Office,Dry the wine glass
56336,Office,Dry the chopsticks with water stains
56337,Office,Dry the chopsticks with water stains
56338,Office,Dry the chopsticks with water stains
56339,Office,Dry the spoon from the water
56340,Office,Dry the spoon from the water
56341,Office,Dry the spoon from the water
56342,Office,Turn the seasoning bottle upside down and pat the bottom
56343,Office,Turn the seasoning bottle upside down and pat the bottom
56344,Office,Turn the seasoning bottle upside down and pat the bottom
56372,Office,Install the battery into the remote control
56373,Office,Install the battery into the remote control
56374,Office,Install the battery into the remote control
56375,Office,Remove the battery from the remote control
56376,Office,Remove the battery from the remote control
56377,Office,Remove the battery from the remote control
56390,Office,Push the tomatoes into the wok from the cutting board
56391,Office,Push the tomatoes into the wok from the cutting board
56392,Office,Push the tomatoes into the wok from the cutting board
56393,Office,Transfer the tomatoes from the cutting board into the soup pot
56394,Office,Transfer the tomatoes from the cutting board into the soup pot
56395,Office,Transfer the tomatoes from the cutting board into the soup pot
56396,Office,Push the potatoes into the wok from the cutting board
56397,Office,Push the potatoes into the wok from the cutting board
56398,Office,Push the potatoes into the wok from the cutting board
56399,Office,Pull the potatoes into the soup pan from the cutting board
56400,Office,Pull the potatoes into the soup pan from the cutting board
56401,Office,Pull the potatoes into the soup pan from the cutting board
56402,Office,Scoop the garlic into the wok from the cutting board
56403,Office,Scoop the garlic into the wok from the cutting board
56404,Office,Scoop the garlic into the wok from the cutting board
56405,Office,Scoop the garlic from the cutting board into the soup pot
56406,Office,Scoop the garlic from the cutting board into the soup pot
56407,Office,Scoop the garlic from the cutting board into the soup pot
56408,Office,Push the scallions into the wok from the cutting board
56409,Office,Push the scallions into the wok from the cutting board
56410,Office,Push the scallions into the wok from the cutting board
56411,Office,Transfer the scallions from the cutting board into the soup pot
56412,Office,Transfer the scallions from the cutting board into the soup pot
56413,Office,Transfer the scallions from the cutting board into the soup pot
56414,Office,Push the cucumbers into the wok from the cutting board
56415,Office,Push the cucumbers into the wok from the cutting board
56416,Office,Push the cucumbers into the wok from the cutting board
56417,Office,Pull the cucumbers into the soup pot from the cutting board
56418,Office,Pull the cucumbers into the soup pot from the cutting board
56419,Office,Pull the cucumbers into the soup pot from the cutting board
56420,Office,Push the broccoli into the wok from the cutting board
56421,Office,Push the broccoli into the wok from the cutting board
56422,Office,Push the broccoli into the wok from the cutting board
56423,Office,Scoop the broccoli into the soup pan from the cutting board
56424,Office,Scoop the broccoli into the soup pan from the cutting board
56425,Office,Scoop the broccoli into the soup pan from the cutting board
56426,Office,Push the tofu into the wok from the cutting board
56427,Office,Push the tofu into the wok from the cutting board
56428,Office,Push the tofu into the wok from the cutting board
56429,Office,Transfer the tofu from the cutting board into the soup pot
56430,Office,Transfer the tofu from the cutting board into the soup pot
56431,Office,Transfer the tofu from the cutting board into the soup pot
56432,Office,Push the carrots into the wok from the cutting board
56433,Office,Push the carrots into the wok from the cutting board
56434,Office,Push the carrots into the wok from the cutting board
56435,Office,Pull the carrots into the soup pan from the cutting board
56436,Office,Pull the carrots into the soup pan from the cutting board
56437,Office,Pull the carrots into the soup pan from the cutting board
56438,Office,Sift the flour into a mixing bowl
56439,Office,Sift the flour into a mixing bowl
56440,Office,Sift the flour into a mixing bowl
56444,Office,Hold the handle of the pan with one hand and stir-fry the tomatoes with the spatula with the other
56445,Office,Hold the handle of the pan with one hand and stir-fry the tomatoes with the spatula with the other
56446,Office,Hold the handle of the pan with one hand and stir-fry the tomatoes with the spatula with the other
56447,Office,Hold the handle with one hand and stir-fry the potatoes with the spatula with the other hand
56448,Office,Hold the handle with one hand and stir-fry the potatoes with the spatula with the other hand
56449,Office,Hold the handle with one hand and stir-fry the potatoes with the spatula with the other hand
56450,Office,Hold the handle with one hand and stir-fry the garlic with the spatula with the other hand
56451,Office,Hold the handle with one hand and stir-fry the garlic with the spatula with the other hand
56452,Office,Hold the handle with one hand and stir-fry the garlic with the spatula with the other hand
56453,Office,Hold the handle with one hand and stir-fry the scallions with the spatula with the other hand
56454,Office,Hold the handle with one hand and stir-fry the scallions with the spatula with the other hand
56455,Office,Hold the handle with one hand and stir-fry the scallions with the spatula with the other hand
56456,Office,Hold the handle with one hand and stir-fry the cucumber with the spatula with the other hand
56457,Office,Hold the handle with one hand and stir-fry the cucumber with the spatula with the other hand
56458,Office,Hold the handle with one hand and stir-fry the cucumber with the spatula with the other hand
56459,Office,Hold the handle with one hand and stir-fry the broccoli with the spatula with the other hand
56460,Office,Hold the handle with one hand and stir-fry the broccoli with the spatula with the other hand
56461,Office,Hold the handle with one hand and stir-fry the broccoli with the spatula with the other hand
56462,Office,Hold the handle with one hand and stir-fry the tofu with the spatula with the other hand
56463,Office,Hold the handle with one hand and stir-fry the tofu with the spatula with the other hand
56464,Office,Hold the handle with one hand and stir-fry the tofu with the spatula with the other hand
56465,Office,Hold the handle with one hand and stir-fry the carrots with the spatula with the other hand
56466,Office,Hold the handle with one hand and stir-fry the carrots with the spatula with the other hand
56467,Office,Hold the handle with one hand and stir-fry the carrots with the spatula with the other hand
56468,Office,Hold the handle with one hand and stir-fry the beef with the spatula with the other hand
56469,Office,Hold the handle with one hand and stir-fry the beef with the spatula with the other hand
56470,Office,Hold the handle with one hand and stir-fry the beef with the spatula with the other hand
56471,Office,Hold the handle with one hand and stir-fry the chicken breast with the spatula with the other hand
56472,Office,Hold the handle with one hand and stir-fry the chicken breast with the spatula with the other hand
56473,Office,Hold the handle with one hand and stir-fry the chicken breast with the spatula with the other hand
56474,Office,Hold the handle with one hand and stir-fry the fish with the spatula with the other hand
56475,Office,Hold the handle with one hand and stir-fry the fish with the spatula with the other hand
56476,Office,Hold the handle with one hand and stir-fry the fish with the spatula with the other hand
56477,Office,Hold the handle of the pan with one hand and stir-fry the shrimp with the spatula with the other
56478,Office,Hold the handle of the pan with one hand and stir-fry the shrimp with the spatula with the other
56479,Office,Hold the handle of the pan with one hand and stir-fry the shrimp with the spatula with the other
56480,Office,Hold the handle with one hand and stir-fry the sausage with the spatula with the other hand
56481,Office,Hold the handle with one hand and stir-fry the sausage with the spatula with the other hand
56482,Office,Hold the handle with one hand and stir-fry the sausage with the spatula with the other hand
56483,Office,Hold the handle of the pan with one hand and stir-fry the shrimp with the spatula with the other
56484,Office,Hold the handle of the pan with one hand and stir-fry the shrimp with the spatula with the other
56485,Office,Hold the handle of the pan with one hand and stir-fry the shrimp with the spatula with the other
56486,Office,Push the tomatoes onto the kitchen knife
56487,Office,Push the tomatoes onto the kitchen knife
56488,Office,Push the tomatoes onto the kitchen knife
56489,Office,Push the potatoes onto the kitchen knife
56490,Office,Push the potatoes onto the kitchen knife
56491,Office,Push the potatoes onto the kitchen knife
56492,Office,Push the garlic onto the kitchen knife
56493,Office,Push the garlic onto the kitchen knife
56494,Office,Push the garlic onto the kitchen knife
56495,Office,Push the scallions onto the kitchen knife
56496,Office,Push the scallions onto the kitchen knife
56497,Office,Push the scallions onto the kitchen knife
56498,Office,Pull the cucumber onto the kitchen knife
56499,Office,Pull the cucumber onto the kitchen knife
56500,Office,Pull the cucumber onto the kitchen knife
56501,Office,Push the broccoli onto the kitchen knife
56502,Office,Push the broccoli onto the kitchen knife
56503,Office,Push the broccoli onto the kitchen knife
56504,Office,Push the tofu onto the kitchen knife
56505,Office,Push the tofu onto the kitchen knife
56506,Office,Push the tofu onto the kitchen knife
56507,Office,Pull the carrots onto the kitchen knife
56508,Office,Pull the carrots onto the kitchen knife
56509,Office,Pull the carrots onto the kitchen knife
56510,Office,Push the beef onto the kitchen knife
56511,Office,Push the beef onto the kitchen knife
56512,Office,Push the beef onto the kitchen knife
56513,Office,Push the chicken breast onto the kitchen knife
56514,Office,Push the chicken breast onto the kitchen knife
56515,Office,Push the chicken breast onto the kitchen knife
56516,Office,Pull the fish onto the kitchen knife
56517,Office,Pull the fish onto the kitchen knife
56518,Office,Pull the fish onto the kitchen knife
56519,Office,Push the shrimps onto the kitchen knife
56520,Office,Push the shrimps onto the kitchen knife
56521,Office,Push the shrimps onto the kitchen knife
56522,Office,Push the sausage onto the kitchen knife
56523,Office,Push the sausage onto the kitchen knife
56524,Office,Push the sausage onto the kitchen knife
56525,Office,Pull the shrimps onto the kitchen knife
56526,Office,Pull the shrimps onto the kitchen knife
56527,Office,Pull the shrimps onto the kitchen knife
56528,Office,Hold half of a lemon in each hand while squeezing the juice
56529,Office,Hold half of a lemon in each hand while squeezing the juice
56530,Office,Hold half of a lemon in each hand while squeezing the juice
56531,Office,Hold half of an orange in each hand and squeeze the juice together
56532,Office,Hold half of an orange in each hand and squeeze the juice together
56533,Office,Hold half of an orange in each hand and squeeze the juice together
56534,Office,Hold half of a kumquat in each hand and squeeze the juice together
56535,Office,Hold half of a kumquat in each hand and squeeze the juice together
56536,Office,Hold half of a kumquat in each hand and squeeze the juice together
56537,Office,Hold half a tomato in each hand and squeeze the juice together
56538,Office,Hold half a tomato in each hand and squeeze the juice together
56539,Office,Hold half a tomato in each hand and squeeze the juice together
56540,Office,Hold the handle and tip of the kitchen knife with both hands and chop the garlic quickly
56541,Office,Hold the handle and tip of the kitchen knife with both hands and chop the garlic quickly
56542,Office,Hold the handle and tip of the kitchen knife with both hands and chop the garlic quickly
56543,Office,Hold the handle and tip of the kitchen knife with both hands and chop the ginger quickly
56544,Office,Hold the handle and tip of the kitchen knife with both hands and chop the ginger quickly
56545,Office,Hold the handle and tip of the kitchen knife with both hands and chop the ginger quickly
56546,Office,Hold the handle and tip of the kitchen knife with both hands and chop the scallions quickly
56547,Office,Hold the handle and tip of the kitchen knife with both hands and chop the scallions quickly
56548,Office,Hold the handle and tip of the kitchen knife with both hands and chop the scallions quickly
56549,Office,Hold the handle and tip of the kitchen knife with both hands and chop the coriander quickly
56550,Office,Hold the handle and tip of the kitchen knife with both hands and chop the coriander quickly
